Dirty P's Garlic-Ginger Chicken Thighs,4,27,24,1.0,Save yourself some time on the day of a cookout and marinate your chicken in a blend of garlic\n ginger\n soy sauce and orange juice the night before.
Sesame-Lemon Chicken,22,30,17,1.0,With a rub made from sesame seeds and lemon zest\n chicken thighs become the centerpiece of this healthy main dish\n which includes a simple lettuce and tomato salad.
Lemon Chicken Breasts,3,49,20,1.0,Ina Garten's quick-fix baked chicken takes just 15 minutes' prep and will become an instant family favorite thanks to crispy golden-brown skin and a white wine lemon sauce.
Buffalo Cauliflower with Blue Cheese Sauce,15,7,16,1.0,Forget the chicken wings. Our healthy Buffalo Cauliflower with Blue Cheese Sauce gives you all of the tangy Buffalo flavor without all the fat and calories.
Roasted Cauliflower and Broccoli,10,4,4,1.0,Roast a batch of Ellie's Roasted Cauliflower and Broccoli on a Sunday\n and you'll find new ways to add the veggies to dishes like salads\n pastas and grain bowls all week long.
Three Bean and Beef Chili,35,22,8,1.0,The secret ingredient in Ellie's hearty beef and bean chili is bold chipotle chiles in adobo sauce.
Lemon-Garlic Shrimp and Grits,26,34,12,1.0,You won't find sticks of butter in this comfort food. Don't worry about flavor\n though; these shrimp are plenty zesty from the lemon and garlic.
Low-Cal Fettuccine Alfredo,66,20,15,1.0,Smart swaps like low-fat cream cheese and milk create a version of Alfredo sauce that's still silky and rish\n but with much less fat and calories than traditional versions.
Healthy Cauliflower Rice,10,3,11,1.0,Carb-conscious eaters everywhere have jumped on the cauliflower rice trend (and at about 1/4 of the carbohydrates of traditional rice\n it's no wonder why). Once you see how easy it is to make this healthy side dish home\n you'll never shell out for store-bought varieties ever again.
Grilled Chicken with Avocado Pesto,4,40,21,1.0,Sorry chicken\n avocado is the star in this low-carb and protein-packed dish. It helps make a creamy dairy-free pesto that's filled with heart-healthy fats.
Fettuccine with Creamy Red Pepper-Feta Sauce,73,18,11,1.0,Jarred roasted red peppers\n packed with flavor\n make this weeknight pasta dish come together in a flash. Tangy feta is crumbled atop the whole-wheat noodles.
Salmon with Sweet & Spicy Rub,4,35,22,1.0,Ellie's 17-minute salmon fillets contain just 280 calories per serving. She saves time in the kitchen with her quick and easy seasoning\n which includes chili powder\n cumin and some light brown sugar\n keeping flavors bold and the fat content low.
Seared Salmon with Ponzu and Baby Bok Choy,3,34,16,1.0,Get jammin’ with salmon one night this week. You’re also in the mood for ponzu and baby bok choy\n you say? How serendipitous! We just so happen to have this crazy good Seared Salmon with Ponzu and Baby Bok Choy recipe ready for you. Made with soy sauce\n rice wine vinegar\n fresh lime and fresh ginger (among other tasty ingredients!)\n the recipe’s ponzu sauce emphasizes the natural sweetness of the fish and the crispness of the bok choy with its zesty pizzazz.
Lemon Chicken with Artichoke Hearts,11,56,12,1.0,Artichokes transform lemon chicken into a quick and hearty dinner. Let them simmer in the pan for a few minutes so that they become juicy and fully infused with the wine\n onion and garlic sauce.
Mexican Chicken Stew,17,25,12,1.0,Leftover rotisserie chicken makes this delicious stew a quick-fix meal.
Bacon and Kimchi Noodle Stir-Fry,54,17,17,1.0,At only 430 calories per serving\n this 35-minute stir-fry is sure to become a favorite in your household. Top with a tablespoon of toasted sesame seeds to give your savory noodles some extra texture.
Shortcut Chicken Chili,41,31,18,1.0,You've got to love a good shortcut — especially when it makes healthy eating easier! This chili uses cooked\n rotisserie chicken for a ligthened up version of the comfort food classic in a fraction of the time.
Berry-Oatmeal Bake,41,6,10,1.0,This breakfast bake is easy on the calories and fat\n and as pretty as a picture. With its berries and oat-almond topping\n it's almost like a tart, sweet fruit cobbler — great with a little Greek yogurt or milk on top.
Banana Waffles,28,12,19,1.0,Who needs sugar when you have ripe bananas to sweeten these moist and fluffy gluten-free waffles?
Hash Browns Makeover,18,2,3.7,1.0,Make light-yet-crispy hash browns using just a tablespoon of oil and a nonstick pan.
Hot ChocolateBanana-Nut Oatmeal,61,11,12,1.0,This isn't just any old oatmeal. It's like having dessert for breakfast. This recipe has got toasty nuts\n sweet banana\n rich cocoa and just enough chocolate chips to give you both healthy and sweet fix at the same time.
Ham and Egg and Cheese Oatmeal,28,25,17,1.0,Sure\n oatmeal's great with cinnamon and sugar. For a twist\n try this savory take: oatmeal paired with the classic combo of ham\n eggs and cheese.
No-Cook Blueberry-Almond Oatmeal,61,15,6,1.0,Throw together this healthy oatmeal the night before and enjoy it the next morning. We love it cold\n but if you prefer a little warmth\n remove the lid and microwave the oatmeal until hot\n about 1 minute.
Whole-Wheat Apple Pancakes,46,8,3,1.0,Start your morning right with Ellie's pancakes\n full of whole grains and fresh fruit.
Cinnamon Oatmeal Pancakes with Honey Apple Compote,72,9,13,1.0,Oats have a tendency to get gummy in pancakes\n but when they're blended with the whole wheat flour\n they stay light in the batter while adding a nice nuttiness. Lowfat milk saves calories and leaves room for melted butter in the batter. The apple compote takes the place of syrup and is sweetened by unrefined natural sugars.
Espresso Banana-Acai Bowls,36,10,27,1.0,Get in on the delicious smoothie bowl trend with these flavor-packed acai bowls made with fruit\n cacao powder and espresso. (And layered with oodles of yummy toppings!)
Gluten-Free Raisin Bread French Toast Casserole,29,7,4,1.0,This decadent-yet-healthy make-ahead baked French toast is topped with fresh berries — and is also gluten-free.
Chia Seed Pudding,25,8,8,1.0,Giada's bulks up Greek yogurt with chia seeds for a little bit of crunch and maple syrup for a little bit of sweet — it's the perfect healthy make-ahead breakfast.
Skillet Eggs With Squash,9,12,15,1.0,In this crowd-pleasing recipe\n baked eggs sit atop grated summer squash and zucchini\n with a healthy dose of spicy pepper Jack cheese\n nutmeg and scallions.
Paleo Collard Burrito,16,22,20,1.0,Collards are key to these paleo-friendly breakfast wraps: bacon\n eggs and a fresh avocado salsa (think salsa meets gauc) are wrapped up in tender collard leaves\n which can be prepped a day in advance.
Hot Apple Cereal,41,6,24,1.0,This grainless porridge relies on sweet and tart Honeycrisp apples to make a chunky sauce enriched with coconut milk\n cashews and ground flaxseed.
The New Avocado Toast,14,9,29,1.0,In this reverse-engineered avocado toast\n the avocado is coated with crispy garlic breadcrumbs before being topped with a perfect fried egg.
Paleo Pumpkin Waffles,21,4,16,1.0,Satisfy your paleo cravings with these wholesome waffles\n naturally sweetened with pumpkin puree and a quick raspberry compote.
Huevos Rancheros,33,16,19,1.0,This Mexican dish isn't usually the healthiest breakfast choice\n but Sunny Anderson's version is fresh\n light and still full of flavor.
Bacon and Egg Cups,7,9,7,1.0,Everything you've ever craved from a diner breakfast is present in this recipe\n which is easy to prepare for a crowd.
Breakfast Burrito,51,23,23,1.0,Ellie's whole-wheat breakfast burritos make for a hand-held\n vegetable-packed way start to your day.
Honey Soy Grilled Salmon with Edamame,10,39,15,1.0,The natural richness of salmon and it's high amount of Omega-3's makes it a great choice for a healthy meal that doesn't need much added fat. By stuffing a mixture of fresh herbs into the fillets\n through a pocket\n the fish is infused with bright flavors.
Glazed Salmon and Bok Choy Sheet Pan Dinner,15,39,25,1.0,This simple-yet-satisfying meal can be assembled and cooked in minutes on just one sheet pan. What's better than that?
Spicy Fennel Shrimp,1,2,5,1.0,It doesn't get more low-carb than Rachael's easy Spicy Fennel Shrimp. The dish\n made with colossal-sized shrimp and a handful of spices\n and has just a single gram of carbohydrates per serving.
Herb-Roasted Chicken with Root Vegetables,12,51,35,1.0,"Fit Chef Eddie" shares his low-carb recipe for a whole roasted chicken with carrots\n rutabagas and turnips. Keep your fingers crossed there are leftovers!
Microwave Ratatouille,14,3,15,1.0,Using the microwave to cook rounds of eggplant\n summer squash and tomatoes arranged prettily in a pie dish takes far less time (and olive oil) than does traditional ratatouille\n a Provencal appetizer or side dish that calls for dicing and sauteing each vegetable separately.
Chicken Piccata,4,25,9.5,1.0,Chicken Piccata is typically loaded with butter and wine\n but this lighter version of an Italian favorite uses white wine vinegar and just a little bit of butter to create a sauce so rich you won't be able to tell the difference.
Spicy Cauliflower Stir-Fry,9,4,3,1.0,Ree's spicy vegetarian stir-fry packs a ton of flavor\n but calls for just seven ingredients — most of which you probably already have in your pantry.
Mushroom-Stuffed Pork Tenderloin,3,39,17,1.0,Stuffing pork tenderloins with a mixture of mushrooms\n bacon and parsley makes a hearty main course that's impressive enough for company\n and has just 3 grams of carbs per serving.
Healthy Spicy Steamed Baby Bok Choy,4,2,1.5,1.0,A full serving of our healthy bok choy drizzled with spicy sesame oil boasts just 4 grams of carbohydrates.
Salmon with Lemon and Capers and Rosemary,2,34,25,1.0,Grilling salmon in foil makes for a no-fuss meal that's fresh and light.
Healthy Grilled BBQ Meatloaf Foil Pack,14,35,11,1.0,What makes this low-fat\n low-carb meatloaf speedier than the typical oven version? The reflective surface of the foil packet\n which traps and intensifies the heat like a mini silver oven.
Buffalo Chicken Salad,10,31,10,1.0,Ellie makes a healthy version of this classic with all of the original flavor. How does she create a blue cheese dressing with half the calories and a third of the fat of the traditional creamy topping? Greek yogurt.
